Производитель;Артикул;Наименование;Объем;Состав;Вязкость;API;ACEA;Допуски OEM;Цена;Количество
Agip;8423178002737;Моторное масло AGIP EUROSPORTS SAE 5W-50 (4л);4;Синтетическое;5W-50;SL;;;0;1
Agip;a-8423178245011;Моторное масло AGIP RACING SAE 10W-60 (4л) (8713668000887);4;Синтетическое;10W-60;SL;;;0;1
Eni;8423178011067;Моторное масло ENI I-Sint SAE 5W-40 (4л) (NEW);;;5W-40;SM/CF;A3/B4;BMW Longlife-01,GM-LL-B-025,MB 229.3,RN0700,RN0710,VW 502.00;0;1
Eni;8423178020953;Моторное масло ENI I-Sint Professional SAE 5W-40 (5л);5;Синтетическое;5W-40; CF,SL;A3/B4;;0;1
Eni;8423178020939;Моторное масло ENI I-Sint Professional SAE 10W-40 (5л);5;Полусинтетическое;10W-40; CF,SL;A3/B4;MB 229.1;1;1
Eni;;Моторное масло ENI I-Base Professional SAE 15W-40 (5л);5;Минеральное;15W-40; CD,SG;; MIL-L-2104D,CCNC G2,MIL-L-46152C;0;1
FUCHS;600889449;Моторное масло FUCHS TITAN Supersyn Longlife SAE 0W-40 (1л);1;Синтетическое;0W-40;SN;A3/B3;"MB 229.5
PORSCHE A40 AMG
ASTON-MARTIN
BMW LONGLIFE";0;1
FUCHS;600889463;Моторное масло FUCHS TITAN Supersyn Longlife SAE 0W-40 (4л);4;Синтетическое;0W-40;SN;A3/B3;"MB 229.5
PORSCHE A40 AMG
ASTON-MARTIN
BMW LONGLIFE";0;1
FUCHS;600756314;Моторное масло FUCHS Titan GT1 Pro Flex SAE 5W-30 (1л);1;;5W-30;SN; A3/B4,C3; VW 505.01,BMW LL-04,FORD M2C917-A,GM-LL-A-025,GM-LL-B-025,MB 229.51,VW 502.00,VW 505.00;0;1
FUCHS;600721602;Моторное масло FUCHS Titan SuperSyn Longlife SAE 5W-40 (1л);1;Cинтетическое;5W-40;SN/SM/CF;A3/B4; VW 505.00,BMW LL-01,MB-APPROVAL 229.5,PORSCHE A40,RENAULT RN0700,RENAULT RN0710,VW 502.00;1;1
FUCHS;600756253;Моторное масло FUCHS Titan GT1 PRO C-3 SAE 5W-30 (1л);1;;5W-30;A3/B4;C3; PORSCHE C30,BMW Ll-04,FORD M2C917-A,MB 229.51,VW 504.00,VW 507.00;0;1
FUCHS;600667955;Моторное масло FUCHS Titan GT1 PRO C-4 SAE 5W-30 (1л);1;;5W-30;;C4;RENAULT RN0720;1;1
FUCHS;600756291;Моторное масло FUCHS Titan GT1 SAE 5W-40 (1л);1;;5W-40; CF,SM,SN;C3; VW 505.01,BMW Ll-04,FORD M2C917-A,MB 229.31,PORSCHE A40,RENAULT RN0700,RENAULT RN0710,VW 502.00,VW 505.00;0;1
FUCHS;ab-600638894;Моторное масло FUCHS Titan SuperSyn SAE 5W-40 (1л) (600930745);1;;5W-40;SN/SM/CF;A3/B4; VW 505.00,BMW LONGLIFE-98,FIAT 9.55535,MB 229.3,PORSCHE A40,PSA B71 2296,RENAULT RN0700,RENAULT RN0710,VW 502.00;1;1
FUCHS;600640545;Моторное масло FUCHS Titan SuperSyn SAE 5W-50 (1л);1;;5W-50; CF,SL; В4,А3;;0;1
